Name,Team,Date
Haku,FakeOut Nation,5/13/16
Menchaca-,FakeOut Nation,5/13/16
iOghma,FakeOut Nation,5/13/16
xAmericanNinjax,Montage in Action,5/13/16
CorruptSniping,Montage in Action,5/13/16
CBKxNinja,Montage in Action,5/13/16
MrChaotyk,Divinity,5/13/16
Vexyn,Divinity,5/13/16
DoYouSeeDeezMoves,Divinity,5/13/16
PxlBuzzard,Virtual Rockets,5/13/16
Azazel,Virtual Rockets,5/13/16
Ecko,Virtual Rockets,5/13/16
Watsupmijo_24,Momentum,6/3/16
Timi_f,Momentum,6/3/16
Buzzeater,Momentum,6/3/16
Doughnut King,PRL NA,6/3/16
bb21tt,PRL NA,6/3/16
Sisco,PRL NA,6/3/16
Watsupmijo_24,Momentum,6/17/16
Timi_f,Momentum,6/17/16
Buzzeater,Momentum,6/17/16
Dappur,Momentum,6/17/16
Haku,FakeOut Nation,6/17/16
Nexate,FakeOut Nation,6/17/16
CorruptedG,FakeOut Nation,6/17/16
Torment,Lucky Bounce,6/17/16
DarkFire,Lucky Bounce,6/17/16
Timbathy,Lucky Bounce,6/17/16
J_knaps,Lucky Bounce,6/17/16
Bell,Empyreal,6/17/16
Fireworks,Empyreal,6/17/16
Overdosed Joey,Empyreal,6/17/16
Dareyck,Empyreal,6/17/16
Watsupmijo_24,Momentum,7/1/16
Timi_f,Momentum,7/1/16
Buzzeater,Momentum,7/1/16
Dappur,Momentum,7/1/16
DebatablyClutch,2 Goals 1 Cup,7/1/16
Chubby Unicorn,2 Goals 1 Cup,7/1/16
A Chumbawumba,2 Goals 1 Cup,7/1/16
EpicSolutionZ,PLAY5 Gaming,7/1/16
Eddy Kinguin,PLAY5 Gaming,7/1/16
Meliodas,PLAY5 Gaming,7/1/16
Faded Filipino,NA Bae,7/1/16
Wubbytubz,NA Bae,7/1/16
SeleneSalami,NA Bae,7/1/16
Expozzia,NA Bae,7/1/16
Watsupmijo_24,Momentum,7/8/16
Timi_f,Momentum,7/8/16
Dappur,Momentum,7/8/16
SquishyMuffins,Momentum,7/8/16
Torment,Lucky Bounce,7/8/16
DarkFire,Lucky Bounce,7/8/16
Timbathy,Lucky Bounce,7/8/16
J_knaps,Lucky Bounce,7/8/16
Skibs010,Flying Rockets,7/8/16
Recall9,Flying Rockets,7/8/16
ElYodah1,Flying Rockets,7/8/16
Kubsniped,Jinx,7/8/16
Sub'n,Jinx,7/8/16
Liquid,Jinx,7/8/16
Moses,Exodus,7/15/16
GarrettG,Exodus,7/15/16
Turtle,Exodus,7/15/16
Watsupmijo_24,Momentum,7/15/16
Timi_f,Momentum,7/15/16
Dappur,Momentum,7/15/16
SquishyMuffins,Momentum,7/15/16
Air,Momentum,7/15/16
Araussi,Boost > Ball,7/15/16
SMGschwind,Boost > Ball,7/15/16
Skinner,Boost > Ball,7/15/16
JWismont,Literally,7/15/16
JOHN1138,Literally,7/15/16
xbLeU,Literally,7/15/16
JWismont,Literally,7/22/16
JOHN1138,Literally,7/22/16
xbLeU,Literally,7/22/16
Loomin,Ironhype,7/22/16
J.RAx,Ironhype,7/22/16
ColemanA,Ironhype,7/22/16
Nc! Satthew,Ironhype,7/22/16
Attackerby,Ironhype,7/22/16
FORfallenTROOPS,Mystery eSports,7/22/16
Complex,Mystery eSports,7/22/16
OatmealRL,Mystery eSports,7/22/16
Doughnut King,Chef,7/22/16
Pizzle,Chef,7/22/16
CAMERON,Chef,7/22/16
Dappur,Momentum,7/29/16
J_knaps,Momentum,7/29/16
Watsupmijo_24,Momentum,7/29/16
PxlBuzzard,vVv Gaming,7/29/16
Azazel,vVv Gaming,7/29/16
Ecko,vVv Gaming,7/29/16
Alcapwn,vVv Gaming,7/29/16
HadABradDay,vVv Gaming,7/29/16
DESGADELHADO,SEO Moves,7/29/16
irpho,SEO Moves,7/29/16
heade,SEO Moves,7/29/16
Bird,Rocket Rats,7/29/16
CoreyDare,Rocket Rats,7/29/16
::::),Rocket Rats,7/29/16
SquishyMuffins,Lemonade for Turtles,8/12/16
Epicjonny,Lemonade for Turtles,8/12/16
Skyzz,Lemonade for Turtles,8/12/16
SMGschwind,Boost > Ball,8/12/16
Wampominater,Boost > Ball,8/12/16
Timmyk,Boost > Ball,8/12/16
KingWizard,Finger Puppet Mafia,8/12/16
Scaper,Finger Puppet Mafia,8/12/16
Grouchy,Finger Puppet Mafia,8/12/16
jorolelin,Last Minute Team,8/12/16
Intercept,Last Minute Team,8/12/16
grumpy,Last Minute Team,8/12/16
SquishyMuffins,Lemonade for Turtles,8/19/16
Epicjonny,Lemonade for Turtles,8/19/16
Gimmick,Lemonade for Turtles,8/19/16
Skyzz,Lemonade for Turtles,8/19/16
Bell,Deception,8/19/16
Fireworks,Deception,8/19/16
Vince,Deception,8/19/16
CorruptedG,Deception,8/19/16
Kri0s,Legacy eSports NA,8/19/16
Calik,Legacy eSports NA,8/19/16
phat man,Legacy eSports NA,8/19/16
Rocket Van Persie,Legacy eSports NA,8/19/16
Squire,Legacy eSports NA,8/19/16
Nomad,Superposition,8/19/16
Klexic,Superposition,8/19/16
Pepper,Superposition,8/19/16
Timi_f,Momentum,8/27/16
J_knaps,Momentum,8/27/16
Watsupmijo_24,Momentum,8/27/16
Dappur,Momentum,8/27/16
demonator1217,Momentum,8/27/16
Zednine,Inertia,8/27/16
Weedwizard,Inertia,8/27/16
Nexate,Inertia,8/27/16
Sub'n,Bums of Beckwith Park,8/27/16
sQuills,Bums of Beckwith Park,8/27/16
Satthew,Bums of Beckwith Park,8/27/16
Zolhay,Discipline,8/27/16
Filberto,Discipline,8/27/16
xZEROAMAZE,Discipline,8/27/16
Liquid,Discipline,8/27/16
Watsupmijo_24,Momentum,9/2/16
Timi_f,Momentum,9/2/16
J_knaps,Momentum,9/2/16
Dappur,Momentum,9/2/16
SquishyMuffins,Vendetta,9/2/16
Torment,Vendetta,9/2/16
Lethamyr,Vendetta,9/2/16
ENIGMA_PLEASE,M-m-m-my KKona,9/2/16
Fatality,M-m-m-my KKona,9/2/16
Knuggs,M-m-m-my KKona,9/2/16
Kazoo,M-m-m-my KKona,9/2/16
HeFty,M-m-m-my KKona,9/2/16
JWismont,Literally,9/2/16
LemonPuppy203,Literally,9/2/16
xbLeU,Literally,9/2/16
