"teamName","inGameName","checkedInAt","Standard Rank (Just for statistics)"
"Tommy's Angels","DrCanadaEh","Sat May 14 2016 00:29:58 GMT+0000 (UTC)",
"MeP","C0M0D0","Sat May 14 2016 00:08:23 GMT+0000 (UTC)",
"MeP","Wydoe","Sat May 14 2016 00:08:23 GMT+0000 (UTC)",
"Wiff City United","|wCu| BioS",,
"Land Sharks","BoomerSoonerNJ",,
"Land Sharks","cediesmalls96",,
"Viper gaming","Docdumbnub","Sat May 14 2016 00:02:42 GMT+0000 (UTC)",
"Viper gaming","Coolwalters","Sat May 14 2016 00:02:42 GMT+0000 (UTC)",
"BGX Gaming","xanderdagr8","Sat May 14 2016 00:15:06 GMT+0000 (UTC)",
"BGX Gaming","Scala ->","Sat May 14 2016 00:15:06 GMT+0000 (UTC)",
"Wiff City United","|wCu| J A X",,
"Wiff City United","|wCu| Cxmbustion",,
"Slay the Weak","Jackson",,
"Slay the Weak","Skizze",,
"Se liga nos Dibres","MrTozatto",,
"Se liga nos Dibres","Sr.Gizmo#iBP Kronovi",,
"The Bro Legion","McTim_85","Sat May 14 2016 00:01:53 GMT+0000 (UTC)",
"The Bro Legion","D-CliffTheKing","Sat May 14 2016 00:01:53 GMT+0000 (UTC)",
"Hardcore Boostiality","Velum","Sat May 14 2016 00:29:41 GMT+0000 (UTC)",
"Hardcore Boostiality","Fmds","Sat May 14 2016 00:29:41 GMT+0000 (UTC)",
"FakeOut Nation","iOghma","Sat May 14 2016 00:14:20 GMT+0000 (UTC)",
"FakeOut Nation","Menchaca-","Sat May 14 2016 00:14:20 GMT+0000 (UTC)",
"Tommy's Angels","Zephren","Sat May 14 2016 00:29:58 GMT+0000 (UTC)",
"Slay the Weak","Valor",,"Challenger 3"
"Virtual Rockets","PxlBuzzard","Sat May 14 2016 00:06:10 GMT+0000 (UTC)","Grand Champion"
"Gold Rush","DESGADELHADO",,"Grand Champion"
"Steel City Blaze","FluxPanda",,"16"
"Steel City Blaze","shayne1342",,
"Steel City Blaze","Mitchmole18",,
"Steel City Blaze","xAngelicVenoMx",,
"Gold Rush","Mephistofes",,
"Gold Rush","fredd97",,
"Virtual Rockets","Azazel","Sat May 14 2016 00:06:10 GMT+0000 (UTC)",
"MeP","KiNG","Sat May 14 2016 00:08:23 GMT+0000 (UTC)",
"Quasar Knights","Takashiro","Sat May 14 2016 00:06:58 GMT+0000 (UTC)","Challanger 2"
"Virtual Rockets","Ecko","Sat May 14 2016 00:06:10 GMT+0000 (UTC)",
"Genetikk E-Sports NA","GNTK_Zakk","Sat May 14 2016 00:00:40 GMT+0000 (UTC)","All-Star"
"Genetikk E-Sports NA","Gliem06","Sat May 14 2016 00:00:40 GMT+0000 (UTC)",
"Genetikk E-Sports NA","SWISHER157","Sat May 14 2016 00:00:40 GMT+0000 (UTC)",
"Genetikk E-Sports NA","GNTK_Chuckk","Sat May 14 2016 00:00:40 GMT+0000 (UTC)",
"Genetikk E-Sports NA","zThonY","Sat May 14 2016 00:00:40 GMT+0000 (UTC)",
"Land Sharks","NjSoonner",,"Challenger 1"
"The Alphas or Whatever","jboyum84","Sat May 14 2016 00:08:59 GMT+0000 (UTC)",
"Quasar Knights","Dirrty Harry","Sat May 14 2016 00:06:58 GMT+0000 (UTC)",
"Quasar Knights","Agent207","Sat May 14 2016 00:06:58 GMT+0000 (UTC)",
"Divinity","MrChaotyk | div","Sat May 14 2016 00:00:04 GMT+0000 (UTC)","Challenger Elite"
"Divinity","Vexyn | div","Sat May 14 2016 00:00:04 GMT+0000 (UTC)",
"The Alphas or Whatever","HiTmAn1104","Sat May 14 2016 00:08:59 GMT+0000 (UTC)",
"Quasar Knights","bearsmwx10","Sat May 14 2016 00:06:58 GMT+0000 (UTC)",
"BGX Gaming","Ghost-k","Sat May 14 2016 00:15:06 GMT+0000 (UTC)","Challenger elite"
"Viper gaming","Nick4life802","Sat May 14 2016 00:02:42 GMT+0000 (UTC)","Semipro"
"Royal Flush","Jentsov","Sat May 14 2016 00:26:10 GMT+0000 (UTC)","Rising Star"
"Royal Flush","King Clutch","Sat May 14 2016 00:26:10 GMT+0000 (UTC)",
"Hardcore Boostiality","Rito_Dorito","Sat May 14 2016 00:29:41 GMT+0000 (UTC)","Rising Star"
"Royal Flush","Stazzi","Sat May 14 2016 00:26:10 GMT+0000 (UTC)",
"Breakfast Club","[BC] A Cereal Box","Sat May 14 2016 00:07:22 GMT+0000 (UTC)","Challenger III"
"Breakfast Club","[BC] Papa Dean","Sat May 14 2016 00:07:22 GMT+0000 (UTC)",
"The Frozen North","Breakfast Goodies","Sat May 14 2016 00:00:09 GMT+0000 (UTC)","The Frozen North"
"Se liga nos Dibres","Brebs",,"Challenger II"
"The Frozen North","ape af","Sat May 14 2016 00:00:09 GMT+0000 (UTC)",
"The Frozen North","Shy420","Sat May 14 2016 00:00:09 GMT+0000 (UTC)",
"Wiff City United","|wCu| TAKu",,"Challenger Elite"
"The Bro Legion","B-l-u-e-4-2-0---","Sat May 14 2016 00:01:53 GMT+0000 (UTC)","Veteran"
"Proruption Gaming","Saraato","Sat May 14 2016 00:06:34 GMT+0000 (UTC)","Challenger Elite"
"Proruption Gaming","Agoney","Sat May 14 2016 00:06:34 GMT+0000 (UTC)",
"Proruption Gaming","Gagey12842","Sat May 14 2016 00:06:34 GMT+0000 (UTC)",
