"teamName","inGameName","checkedInAt"
"Team Team","Baked Potato King","Fri Jul 22 2016 23:15:13 GMT+0000 (UTC)"
"Team Team","Aphrodite","Fri Jul 22 2016 23:15:13 GMT+0000 (UTC)"
"Noob Squad","Bayhu","Fri Jul 22 2016 23:12:47 GMT+0000 (UTC)"
"Noob Squad","Squid","Fri Jul 22 2016 23:12:47 GMT+0000 (UTC)"
"Noob Squad","Noobru","Fri Jul 22 2016 23:12:47 GMT+0000 (UTC)"
"The Tilted Kilts","TTK Conceal","Fri Jul 22 2016 23:35:25 GMT+0000 (UTC)"
"HYPE Gaming","Nipsy","Fri Jul 22 2016 23:38:00 GMT+0000 (UTC)"
"Stuck in Challenger","Lechi","Fri Jul 22 2016 23:01:59 GMT+0000 (UTC)"
"Bang Bang","2B | Forsaken [YT]","Fri Jul 22 2016 23:12:01 GMT+0000 (UTC)"
"Bang Bang","2B | Spicy","Fri Jul 22 2016 23:12:01 GMT+0000 (UTC)"
"The Tilted Kilts","TTK FLip","Fri Jul 22 2016 23:35:25 GMT+0000 (UTC)"
"Stuck in Challenger","AwkwardSnowman","Fri Jul 22 2016 23:01:59 GMT+0000 (UTC)"
"Stuck in Challenger","Left Shark","Fri Jul 22 2016 23:01:59 GMT+0000 (UTC)"
"Literally","JOHN1138","Fri Jul 22 2016 23:06:48 GMT+0000 (UTC)"
"Off the Crossbar","Frigglefrackler","Fri Jul 22 2016 23:05:32 GMT+0000 (UTC)"
"Off the Crossbar","Matthu23","Fri Jul 22 2016 23:05:32 GMT+0000 (UTC)"
"Off the Crossbar","Jdimes30","Fri Jul 22 2016 23:05:32 GMT+0000 (UTC)"
"Literally","xbLeU","Fri Jul 22 2016 23:06:48 GMT+0000 (UTC)"
"The Trap Squad","Jamestomek57","Fri Jul 22 2016 23:25:14 GMT+0000 (UTC)"
"The Trap Squad","Marq_10","Fri Jul 22 2016 23:25:14 GMT+0000 (UTC)"
"The Trap Squad","Killergrip","Fri Jul 22 2016 23:25:14 GMT+0000 (UTC)"
"HYPE Gaming","Javi Sweatpants","Fri Jul 22 2016 23:38:00 GMT+0000 (UTC)"
"Squid Squad","Gilthanes","Fri Jul 22 2016 23:21:07 GMT+0000 (UTC)"
"Squid Squad","squid","Fri Jul 22 2016 23:21:07 GMT+0000 (UTC)"
"Velocity","Hedgy870","Fri Jul 22 2016 23:19:51 GMT+0000 (UTC)"
"Squid Squad","Noobru","Fri Jul 22 2016 23:21:07 GMT+0000 (UTC)"
"Velocity","Barter99","Fri Jul 22 2016 23:19:51 GMT+0000 (UTC)"
"Off the Crossbar","Pur3Sight","Fri Jul 22 2016 23:05:32 GMT+0000 (UTC)"
"Heroes of Tomorrow","Wigs",
"Heroes of Tomorrow","Dukenator76",
"Heroes of Tomorrow","Alecstorm8",
"Black Dragons","G O D A N","Fri Jul 22 2016 23:39:58 GMT+0000 (UTC)"
"Retrograde","TheClasse","Fri Jul 22 2016 23:00:37 GMT+0000 (UTC)"
"Its like GFA, But NOT GFA","skibs010","Fri Jul 22 2016 23:30:47 GMT+0000 (UTC)"
"Black Dragons","Freedom","Fri Jul 22 2016 23:39:58 GMT+0000 (UTC)"
"Black Dragons","Krames","Fri Jul 22 2016 23:39:58 GMT+0000 (UTC)"
"Black Dragons","DuO","Fri Jul 22 2016 23:39:58 GMT+0000 (UTC)"
"Team Cyprus","BlackEyePlayz",
"Team Cyprus","panosnearchou",
"Team Cyprus","Mastros007",
"Quasar Knights","[QK]Takashiro","Fri Jul 22 2016 23:00:19 GMT+0000 (UTC)"
"So Close","NickoLDM","Fri Jul 22 2016 23:32:42 GMT+0000 (UTC)"
"Quasar Knights","[QK] Dirrty Harry","Fri Jul 22 2016 23:00:19 GMT+0000 (UTC)"
"So Close","Pulga Nob","Fri Jul 22 2016 23:32:42 GMT+0000 (UTC)"
"Quasar Knights","Agent207","Fri Jul 22 2016 23:00:19 GMT+0000 (UTC)"
"Quasar Knights","[QK] |APx| BärenMWx10","Fri Jul 22 2016 23:00:19 GMT+0000 (UTC)"
"So Close","RC | Makf","Fri Jul 22 2016 23:32:42 GMT+0000 (UTC)"
"Hardcore Boostiality","Fmds","Fri Jul 22 2016 23:02:15 GMT+0000 (UTC)"
"Hardcore Boostiality","Velum","Fri Jul 22 2016 23:02:15 GMT+0000 (UTC)"
"Hardcore Boostiality","Dat Boi","Fri Jul 22 2016 23:02:15 GMT+0000 (UTC)"
"Chef","Pizzle","Fri Jul 22 2016 23:00:49 GMT+0000 (UTC)"
"SideStep","SideStep WiZarD","Fri Jul 22 2016 23:07:16 GMT+0000 (UTC)"
"Invictos","[IVT] JoelRC14","Fri Jul 22 2016 23:00:39 GMT+0000 (UTC)"
"Invictos","[IVT] DRMS","Fri Jul 22 2016 23:00:39 GMT+0000 (UTC)"
"Invictos","[IVT] Kcin_Legend","Fri Jul 22 2016 23:00:39 GMT+0000 (UTC)"
"Bang Bang","2B | Pooge","Fri Jul 22 2016 23:12:01 GMT+0000 (UTC)"
"Chef","Doughnut King","Fri Jul 22 2016 23:00:49 GMT+0000 (UTC)"
"Crowd Control","Blaze","Fri Jul 22 2016 23:03:54 GMT+0000 (UTC)"
"Crowd Control","Kattastrophy","Fri Jul 22 2016 23:03:54 GMT+0000 (UTC)"
"Crowd Control","lostpaw","Fri Jul 22 2016 23:03:54 GMT+0000 (UTC)"
"Crowd Control","Forebones","Fri Jul 22 2016 23:03:54 GMT+0000 (UTC)"
"The Neon Dragons","|TND| Phantasmal","Fri Jul 22 2016 23:52:29 GMT+0000 (UTC)"
"The Neon Dragons","|TND| Di$t0rTioN","Fri Jul 22 2016 23:52:29 GMT+0000 (UTC)"
"Momentum","watsupmijo_24","Fri Jul 22 2016 23:07:08 GMT+0000 (UTC)"
"HYPE Gaming","Munchkinator","Fri Jul 22 2016 23:38:00 GMT+0000 (UTC)"
"FTW | Freestyling","Nabsftw Freestyler",
"FTW | Freestyling","Daviftw | Freestyler",
