"teamName","inGameName","checkedInAt"
"Sympathy eSports","CheeseTrap","Fri Aug 26 2016 23:36:42 GMT+0000 (UTC)"
"Sympathy eSports","Shammy","Fri Aug 26 2016 23:36:42 GMT+0000 (UTC)"
"Sympathy eSports","* Catalyst`","Fri Aug 26 2016 23:36:42 GMT+0000 (UTC)"
"Advancing Challenges","Haseo","Fri Aug 26 2016 23:44:05 GMT+0000 (UTC)"
"Empyreal eSports","Calik","Fri Aug 26 2016 23:05:54 GMT+0000 (UTC)"
"Advancing Challenges","Szaro","Fri Aug 26 2016 23:44:05 GMT+0000 (UTC)"
"Inertia","Weedwizard","Fri Aug 26 2016 23:02:48 GMT+0000 (UTC)"
"Momentum","demonator1217","Fri Aug 26 2016 23:11:51 GMT+0000 (UTC)"
"Novelty Prize","IKILLYOU!!!","Fri Aug 26 2016 23:44:47 GMT+0000 (UTC)"
"Sympathy eSports","Symp | Rayden769","Fri Aug 26 2016 23:36:42 GMT+0000 (UTC)"
"NoX.LD","SaladUp | NOX.LD","Fri Aug 26 2016 23:20:54 GMT+0000 (UTC)"
"Winkeys Out for Monkey Man","Oshnataur","Fri Aug 26 2016 23:00:36 GMT+0000 (UTC)"
"Winkeys Out for Monkey Man","MyrC Stabbers","Fri Aug 26 2016 23:00:36 GMT+0000 (UTC)"
"Finger Suckers","pringlicious","Fri Aug 26 2016 23:21:00 GMT+0000 (UTC)"
"Blame Dark","Arraussi","Fri Aug 26 2016 23:27:23 GMT+0000 (UTC)"
"Blame Dark","Dark Demise","Fri Aug 26 2016 23:27:23 GMT+0000 (UTC)"
"Sympathy eSports","Jakarr Sampson","Fri Aug 26 2016 23:36:42 GMT+0000 (UTC)"
"Watch My Screen","Ghost","Fri Aug 26 2016 23:03:19 GMT+0000 (UTC)"
"Novelty Prize","Aaron","Fri Aug 26 2016 23:44:47 GMT+0000 (UTC)"
"NoX.LD","CAIOTG1 | NOX.LD","Fri Aug 26 2016 23:20:54 GMT+0000 (UTC)"
"Advancing Challenges","MANG0","Fri Aug 26 2016 23:44:05 GMT+0000 (UTC)"
"ClockWork","xdrifter21x",
"Inertia","Zednine","Fri Aug 26 2016 23:02:48 GMT+0000 (UTC)"
"ClockWork","NinjaKylie25",
"Watch My Screen","Tyler15263","Fri Aug 26 2016 23:03:19 GMT+0000 (UTC)"
"Winkeys Out for Monkey Man","Dismembers","Fri Aug 26 2016 23:00:36 GMT+0000 (UTC)"
"Blame Dark","Tyme","Fri Aug 26 2016 23:27:23 GMT+0000 (UTC)"
"NoX.LD","Lancek1ng | NOX.LD","Fri Aug 26 2016 23:20:54 GMT+0000 (UTC)"
"Sympathy eSports","Doughnut King","Fri Aug 26 2016 23:36:42 GMT+0000 (UTC)"
"Empyreal eSports","Phat Man","Fri Aug 26 2016 23:05:54 GMT+0000 (UTC)"
"Finger Suckers","Gooseman","Fri Aug 26 2016 23:21:00 GMT+0000 (UTC)"
"Blame Dark","Saint","Fri Aug 26 2016 23:27:23 GMT+0000 (UTC)"
"The MuffinMen","Epicjonny17","Fri Aug 26 2016 23:11:24 GMT+0000 (UTC)"
"The MuffinMen","Lethamyr","Fri Aug 26 2016 23:11:24 GMT+0000 (UTC)"
"Firebrand eSports Blaze","Decibel","Fri Aug 26 2016 23:20:30 GMT+0000 (UTC)"
"I'm not good with creativity [NAE]","neocow","Fri Aug 26 2016 23:24:40 GMT+0000 (UTC)"
"M-m-m-my KKona","HeFty","Fri Aug 26 2016 23:25:48 GMT+0000 (UTC)"
"Superposition","Klexic","Fri Aug 26 2016 23:53:32 GMT+0000 (UTC)"
"Advancing Challenges","mmossmann","Fri Aug 26 2016 23:44:05 GMT+0000 (UTC)"
"vVv Gaming","Azazel","Fri Aug 26 2016 23:04:58 GMT+0000 (UTC)"
"Stuck in Challenger","JordanSince",
"Make 'em Pay","KiNG","Fri Aug 26 2016 23:19:26 GMT+0000 (UTC)"
"vVv Gaming","Ecko","Fri Aug 26 2016 23:04:58 GMT+0000 (UTC)"
"NoX.LD","frotA | NOX.LD","Fri Aug 26 2016 23:20:54 GMT+0000 (UTC)"
"So Close","NickoLDM","Fri Aug 26 2016 23:26:07 GMT+0000 (UTC)"
"So Close","Pulga Nob","Fri Aug 26 2016 23:26:07 GMT+0000 (UTC)"
"Firebrand eSports Blaze","Chaotyk","Fri Aug 26 2016 23:20:30 GMT+0000 (UTC)"
"vVv Gaming","Alcapwn","Fri Aug 26 2016 23:04:58 GMT+0000 (UTC)"
"Hardcore Boostiality","Rito_Dorito","Fri Aug 26 2016 23:30:38 GMT+0000 (UTC)"
"So Close","RC | Makf","Fri Aug 26 2016 23:26:07 GMT+0000 (UTC)"
"Hardcore Boostiality","Fmds","Fri Aug 26 2016 23:30:38 GMT+0000 (UTC)"
"Hardcore Boostiality","Velum","Fri Aug 26 2016 23:30:38 GMT+0000 (UTC)"
"Hardcore Boostiality","Dat Boi","Fri Aug 26 2016 23:30:38 GMT+0000 (UTC)"
"Make 'em Pay","C0M0D0","Fri Aug 26 2016 23:19:26 GMT+0000 (UTC)"
"Firebrand eSports Blaze","Billyscape","Fri Aug 26 2016 23:20:30 GMT+0000 (UTC)"
"Nefarious","Ptownicus","Fri Aug 26 2016 23:03:10 GMT+0000 (UTC)"
"Invictos","[IVT] JoelRC14","Fri Aug 26 2016 23:32:08 GMT+0000 (UTC)"
"Invictos","[IVT] DRMS","Fri Aug 26 2016 23:32:08 GMT+0000 (UTC)"
"Invictos","[IVT] Kcin_Legend","Fri Aug 26 2016 23:32:08 GMT+0000 (UTC)"
"Stuck in Challenger","Cactus",
"Dark Matter","DM | BB","Fri Aug 26 2016 23:01:29 GMT+0000 (UTC)"
"Sympathy eSports","Symp | Kesler","Fri Aug 26 2016 23:36:42 GMT+0000 (UTC)"
"Momentum","Watsupmijo_24","Fri Aug 26 2016 23:11:51 GMT+0000 (UTC)"
"Momentum","Timi_f","Fri Aug 26 2016 23:11:51 GMT+0000 (UTC)"
"Legendary Style","LGS I Fubuki","Fri Aug 26 2016 23:00:06 GMT+0000 (UTC)"
"Momentum","Dappur","Fri Aug 26 2016 23:11:51 GMT+0000 (UTC)"
"Ironhype","Loomin | Twitch.tv/Ironhype","Fri Aug 26 2016 23:01:06 GMT+0000 (UTC)"
"Ironhype","Attackerby","Fri Aug 26 2016 23:01:06 GMT+0000 (UTC)"
"Ironhype","J.RAx","Fri Aug 26 2016 23:01:06 GMT+0000 (UTC)"
"vVv Gaming","HadABradDay","Fri Aug 26 2016 23:04:58 GMT+0000 (UTC)"
"Bums of Beckwith Park","Satthew","Fri Aug 26 2016 23:04:29 GMT+0000 (UTC)"
"Deception","Bell",
"Deception","Fireworks",
"Dark Matter","DM | Bird","Fri Aug 26 2016 23:01:29 GMT+0000 (UTC)"
"I'd Leave Too","JO3_YOUN9","Fri Aug 26 2016 23:02:29 GMT+0000 (UTC)"
"Leviticus","Flinney McMillon","Fri Aug 26 2016 23:11:49 GMT+0000 (UTC)"
"Hardcore Boostiality","Bam Bam","Fri Aug 26 2016 23:30:38 GMT+0000 (UTC)"
"Prodigy Red","Prodigy | Purg","Fri Aug 26 2016 23:41:01 GMT+0000 (UTC)"
"Prodigy Red","Prodigy | JSpaZ","Fri Aug 26 2016 23:41:01 GMT+0000 (UTC)"
"The Warriors of Rocket League","|TWR| Bruno_Neves™","Fri Aug 26 2016 23:29:32 GMT+0000 (UTC)"
"The Warriors of Rocket League","|TWR| Peehline","Fri Aug 26 2016 23:29:32 GMT+0000 (UTC)"
"The Warriors of Rocket League","|TWR| The killer Gamer 2304","Fri Aug 26 2016 23:29:32 GMT+0000 (UTC)"
"The Warriors of Rocket League","|TWR| KODAA","Fri Aug 26 2016 23:29:32 GMT+0000 (UTC)"
"The Warriors of Rocket League","GuriSapeka_","Fri Aug 26 2016 23:29:32 GMT+0000 (UTC)"
"Superposition","preamblee","Fri Aug 26 2016 23:53:32 GMT+0000 (UTC)"
"Stuck in Challenger","Fafnir",
